SYMBOL,NAME OF COMPANY
BCPL.NS,Bcpl Railway Infrastructure Ltd
BDH.NS,Bdh Industries Ltd.
BDL.NS,Bharat Dynamics Limited
BEARDSELL.NS,Beardsell Limited
BECTORFOOD.NS,Mrs. Bectors Food Specialities Limited
BEDMUTHA.NS,Bedmutha Industries Limited
BEEKAY.NS,Beekay Steel Industries Ltd
BEEYU.NS,Beeyu Overseas Ltd.
BEL.NS,Bharat Electronics Limited
BELLA-RE.NS,Bella Casa Fashion & Retail Ltd
BELLACASA.NS,Bella Casa Fashion & Retail Ltd
BEMHY.NS,Bemco Hydraulics Ltd.
BEML.NS,Beml Limited
BENARA.NS,Benara Bearings And Pistons Ltd
BENARAS.NS,Benares Hotels Ltd.
BENCHMARK.NS,Benchmark Computer Solutions Ltd
BENGALASM.NS,Bengal & Assam Company Ltd.
BENGALS.NS,Bengal Steel Industries Ltd.
BENGALT.NS,Bengal Tea & Fabrics Ltd.
BENTCOM.NS,Bentley Commercial Enterprises Ltd.
BEPL.NS,Bhansali Engineering Polymers Limited
BERGEPAINT.NS,Berger Paints (I) Limited
BERLDRG.NS,Beryl Drugs Ltd.
BERVINL.NS,Bervin Investment & Leasing Ltd.
BERYLSE.NS,Beryl Securities Ltd.
BESTAGRO.NS,Best Agrolife Limited
BESTEAST.NS,Best Eastern Hotels Ltd.
BETXIND.NS,Betex India Ltd.
BFINVEST.NS,Bf Investment Limited
BFLAFL.NS,Bfl Asset Finvest Ltd
BFSI.NS,Mirae Asset Nifty Financial Services Etf
BFUTILITIE.NS,Bf Utilities Limited
BGDL.NS,Bharat Global Developers Ltd
BGIL.NS,Bgil Films & Technologies Ltd.
BGJL.NS,Bhakti Gems And Jewellery Ltd
BGPL.NS,Bio Green Papers Ltd
BGRENERGY.NS,Bgr Energy Systems Limited
BGWTATO.NS,Bhagwati Autocast Ltd.
BHAGCHEM.NS,Bhagiradha Chemicals & Industries Limited
BHAGERIA.NS,Bhageria Industries Limited
BHAGWOX.NS,Bhagwati Oxygen Ltd.
BHAGYANGR.NS,Bhagyanagar India Limited
BHANDARI.NS,Bhandari Hosiery Exports Limited
BHANDERI.NS,Bhanderi Infracon Ltd
BHARAT.NS,Bharat Bhushan Share & Commodity Brokers Ltd.
BHARATAGRI.NS,Bharat Agri Fert & Realty Ltd.
BHARATFORG.NS,Bharat Forge Limited
BHARATGEAR.NS,Bharat Gears Limited
BHARATRAS.NS,Bharat Rasayan Limited
BHARATSE.NS,Bharat Seats Ltd.-$
BHARATWIRE.NS,Bharat Wire Ropes Limited
BHARTIARTL.NS,Bharti Airtel Limited
BHARTIHEXA.NS,Bharti Hexacom Limited
BHASKAGR.NS,Bhaskar Agrochemicals Ltd.
BHATIA.NS,Bhatia Communications & Retail (India) Ltd
BHEL.NS,Bharat Heavy Electricals Limited
BHILSPIN.NS,Bhilwara Spinners Ltd.
BHUDEVI.NS,Bhudevi Infra Projects Ltd
BI.NS,Bilcare Ltd.-$
BIBCL.NS,Bharat Immunologicals & Biologicals Corporation Ltd.-$
BIGBLOC.NS,Bigbloc Construction Limited
BIHSPONG.NS,Bihar Sponge Iron Ltd.
BIJHANS.NS,Bijoy Hans Ltd.
BIKAJI.NS,Bikaji Foods International Limited
BIL.NS,Bhartiya International Limited
BILLWIN.NS,Billwin Industries Ltd
BIMETAL.NS,Bimetal Bearings Ltd.-$
BINANIIND.NS,Binani Industries Limited
BINDALEXPO.NS,Bindal Exports Ltd
BIOCON.NS,Biocon Limited
BIOFILCHEM.NS,Biofil Chemicals & Pharmaceuticals Limited
BIOGEN.NS,Biogen Pharmachem Industries Ltd
BIRLACABLE.NS,Birla Cable Limited
BIRLACORPN.NS,Birla Corporation Limited
BIRLAMONEY.NS,Aditya Birla Money Limited
BIRLAPREC.NS,Birla Precision Technologies Ltd.
BISIL.NS,Bisil Plast Limited
BITS.NS,Bits Ltd.
BIZOTIC.NS,Bizotic Commercial Ltd
BKV.NS,Bkv Industries Ltd.
BLACKROSE.NS,Black Rose Industries Ltd.
BLAL.NS,Beml Land Assets Limited
BLBLIMITED.NS,Blb Limited
BLIL.NS,Balmer Lawrie Investments Ltd.
BLISSGVS.NS,Bliss Gvs Pharma Limited
BLKASHYAP.NS,B. L. Kashyap And Sons Limited
BLOIN.NS,Bloom Industries Ltd.
BLS.NS,Bls International Services Limited
BLSE.NS,Bls E-Services Limited
BLUECHIP.NS,Blue Chip India Limited
BLUECHIPT.NS,Blue Chip Tex Industries Ltd.
BLUECLOUDS.NS,Blue Cloud Softech Solutions Ltd
BLUEDART.NS,Blue Dart Express Limited
BLUEJET.NS,Blue Jet Healthcare Limited
BLUESTARCO.NS,Blue Star Limited
BMAL.NS,Bothra Metals & Alloys Ltd.
BMW.NS,Bmw Industries Ltd
BNALTD.NS,B & A Ltd.
BNHOLDINGS.NS,Bn Holdings Ltd
BNL.NS,Beekay Niryat Ltd
BNRSEC.NS,B.N.Rathi Securities Ltd.
BNRUDY.NS,Bnr Udyog Ltd.
BODALCHEM.NS,Bodal Chemicals Limited
BOMBCYC.NS,Bombay Cycle & Motor Agency Ltd.
BOMBWIR.NS,Bombay Wire Ropes Ltd.
BOMDYEING.NS,Bombay Dyeing & Mfg Company Limited
BOMOXY-B1.NS,Bombay Oxygen Investments Ltd
BOMTALKIES.NS,Bombay Talkies Ltd
BONDADA.NS,Bondada Engineering Ltd
BONLON.NS,Bonlon Industries Ltd
BOROLTD.NS,Borosil Limited
BORORENEW.NS,Borosil Renewables Limited
BOROSCI.NS,Borosil Scientific Limited
BOSCHLTD.NS,Bosch Limited
BPAGRI.NS,Blue Pearl Agriventures Ltd
BPCL.NS,Bharat Petroleum Corporation Limited
BPL.NS,Bpl Limited
BPLPHARMA.NS,Bharat Parenterals Ltd
BRADYM.NS,Brady & Morris Engineering Co.Ltd.
BRAHMINFRA.NS,Brahmaputra Infrastructure Ltd.
BRANDBUCKT.NS,Brandbucket Media & Technology Ltd
BRAWN.NS,Brawn Biotech Ltd.
BRIDGESE.NS,Bridge Securities Ltd.
BRIGADE.NS,Brigade Enterprises Limited
BRIGHT.NS,Bright Outdoor Media Ltd
BRIGHTBR.NS,Bright Brothers Ltd.-$
BRIJLEAS.NS,Brijlaxmi Leasing & Finance Ltd.
BRIPORT.NS,Brilliant Portfolios Ltd
BRISK.NS,Brisk Technovision Ltd
BRITANNIA.NS,Britannia Industries Limited
BRNL.NS,Bharat Road Network Limited
BROACH.NS,Broach Lifecare Hospital Ltd
BROOKS.NS,Brooks Laboratories Limited
BRPL.NS,Bansal Roofing Products Ltd
BRRL.NS,B-Right Realestate Ltd
BSE.NS,Bse Limited
BSE500IETF.NS,Icici Prudential Bse 500 Etf
BSELALGO.NS,Bsel Algo Ltd
BSHSL.NS,Bombay Super Hybrid Seeds Limited
BSL.NS,Bsl Limited
BSLNIFTY.NS,Aditya Birla Sun Life Nifty 50 Etf
BSLSENETFG.NS,Aditya Birla Sun Life Bse Sensex Etf
BSOFT.NS,Birlasoft Limited
BTML.NS,Bodhi Tree Multimedia Limited
BTTL.NS,Bhilwara Technical Textiles Ltd.
BURNPUR.NS,Burnpur Cement Limited
BUTTERFLY.NS,Butterfly Gandhimathi Appliances Limited
BVCL.NS,Barak Valley Cements Limited
BYKE.NS,The Byke Hospitality Ltd
CALCOM.NS,Calcom Vision Ltd.
CALSOFT.NS,California Software Company Limited
CAMEXLTD.NS,Camex Ltd.
CAMLINFINE.NS,Camlin Fine Sciences Limited
CAMPUS.NS,Campus Activewear Limited
CAMS.NS,Computer Age Management Services Limited
CANBK.NS,Canara Bank
CANDOUR.NS,Candour Techtex Ltd
CANFINHOME.NS,Can Fin Homes Limited
CANTABIL.NS,Cantabil Retail India Limited
CAPACITE.NS,Capacit'E Infraprojects Limited
CAPFIN.NS,Capfin India Ltd
CAPITALSFB.NS,Capital Small Finance Bank Limited
CAPLIPOINT.NS,Caplin Point Laboratories Limited
CAPPIPES.NS,Captain Pipes Ltd
CAPRIHANS.NS,Caprihans India Ltd.-$
CAPRO.NS,Caprolactam Chemicals Ltd.
CAPTRUST.NS,Capital Trust Limited
CARBORUNIV.NS,Carborundum Universal Limited
CAREERP.NS,Career Point Limited
CARERATING.NS,Care Ratings Limited
CARGOSOL.NS,Cargosol Logistics Ltd
CARGOTRANS.NS,Cargotrans Maritime Ltd
CARTRADE.NS,Cartrade Tech Limited
CARYSIL.NS,Carysil Limited
CASPIAN.NS,Caspian Corporate Services Ltd
CASTROLIND.NS,Castrol India Limited
CATVISION.NS,Catvision Limited
CBPL.NS,Chandra Bhagat Pharma Ltd
CCAL.NS,City Crops Agro Ltd
CCCL.NS,Consolidated Construction Consortium Limited
CCHHL.NS,Country Club Hospitality & Holidays Limited
CCL.NS,Ccl Products (India) Limited
CCLINTER.NS,Ccl International Ltd.
CDG.NS,Cdg Petchem Ltd
CDSL.NS,Central Depository Services (India) Limited
CEATLTD.NS,Ceat Limited
CEEJAY.NS,Ceejay Finance Ltd.
CEENIK.NS,Ceenik Exports (India) Ltd.
CEETAIN.NS,Ceeta Industries Ltd.
CEIGALL.NS,Ceigall India Limited
CEINSYSTECH.NS,Ceinsys Tech Ltd
CELEBRITY.NS,Celebrity Fashions Limited
CELLA.NS,Cella Space Ltd
CELLO.NS,Cello World Limited
CENLUB.NS,Cenlub Industries Ltd.
CENTENKA.NS,Century Enka Limited
CENTEXT.NS,Century Extrusions Limited
CENTRALBK.NS,Central Bank Of India
CENTRUM.NS,Centrum Capital Limited
CENTUM.NS,Centum Electronics Limited
CENTURYPLY.NS,Century Plyboards (India) Limited
CERA.NS,Cera Sanitaryware Limited
CEREBRAINT.NS,Cerebra Integrated Technologies Limited
CESC.NS,Cesc Limited
CESL.NS,Ces Limited
CFEL.NS,Confidence Futuristic Energetech Ltd
CFF.NS,Cff Fluid Control Ltd
CFL.NS,Classic Filaments Ltd
CGCL.NS,Capri Global Capital Limited
CGFL.NS,Credent Global Finance Ltd
CGPOWER.NS,Cg Power And Industrial Solutions Limited
CGVAK.NS,Cg-Vak Software & Exports Ltd.
CHADPAP.NS,Chadha Papers Ltd.
CHALET.NS,Chalet Hotels Limited
CHALLANI.NS,Challani Capital Ltd
CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Limited
CHANDNIMACH.NS,Chandni Machines Ltd
CHANDRAP.NS,Chandra Prabhu International Ltd.-$
CHANDRIMA.NS,Chandrima Mercantiles Ltd
CHATHA.NS,Chatha Foods Ltd
CHCL.NS,Cian Healthcare Ltd
CHDCHEM.NS,Chd Chemicals Ltd
CHECKPOINT.NS,Checkpoint Trends Ltd
CHEMBOND.NS,Chembond Chemicals Ltd
CHEMCON.NS,Chemcon Speciality Chemicals Limited
CHEMCRUX.NS,Chemcrux Enterprises Ltd
CHEMFAB.NS,Chemfab Alkalis Limited
CHEMIESYNT.NS,Chemiesynth (Vapi) Ltd
CHEMOPH.NS,Chemo Pharma Laboratories Ltd.
CHEMPLASTS.NS,Chemplast Sanmar Limited
CHEMTECH.NS,Chemtech Industrial Valves Ltd
CHENFERRO.NS,Chennai Ferrous Industries Ltd
CHENNPETRO.NS,Chennai Petroleum Corporation Limited
CHEVIOT.NS,Cheviot Company Limited
CHLLTD.NS,Chl Ltd.
CHLOGIST.NS,Chartered Logistics Ltd.
CHMBBRW.NS,Chambal Breweries & Distilleries Ltd.
CHOICEIN.NS,Choice International Limited
CHOKSI.NS,Choksi Imaging Ltd.
CHOKSILA.NS,Choksi Laboratories Ltd.
CHOLAFIN.NS,Cholamandalam Investment And Finance Company Limited
CHOLAHLDNG.NS,Cholamandalam Financial Holdings Limited
CHORDIA.NS,Chordia Food Products Ltd.
CHOTHANI.NS,Chothani Foods Ltd
CHOWGULSTM.NS,Chowgule Steamships Ltd.
CHROME.NS,Chrome Silicon Ltd-$
CHRTEDCA.NS,Chartered Capital & Investment Ltd.
CIANAGRO.NS,Cian Agro Industries & Infrastructure Ltd
CIEINDIA.NS,Cie Automotive India Limited
CIFL.NS,Capital India Finance Ltd
CIGNITITEC.NS,Cigniti Technologies Limited
CILSEC.NS,Cil Securities Ltd.
CINDHO.NS,Cindrella Hotels Ltd.-$
CINDRELL.NS,Cindrella Financial Services Ltd.
CINELINE.NS,Cineline India Limited
CINERAD.NS,Cinerad Communications Ltd.
CINEVISTA.NS,Cinevista Limited
CIPLA.NS,Cipla Limited
CITADEL.NS,Citadel Realty And Developers Ltd.
CITIPOR.NS,Citiport Financial Services Ltd.
CITL.NS,Consecutive Investment & Trading Company Ltd
CITYMAN.NS,Cityman Ltd.
CITYONLINE.NS,City Online Services Ltd
CJGEL.NS,C.J.Gelatine Products Ltd.
CLARA.NS,Clara Industries Ltd
CLASELE.NS,Classic Electricals Ltd.
CLEAN.NS,Clean Science And Technology Limited
CLEDUCATE.NS,Cl Educate Limited
CLFL.NS,Classic Leasing & Finance Ltd
CLIOINFO.NS,Clio Infotech Ltd.
CLSEL.NS,Chaman Lal Setia Exports Limited
CMBL.NS,Corporate Merchant Bankers Ltd
CMMHOSP.NS,Chennai Meenakshi Multispeciality Hospital Ltd.-$
CMSINFO.NS,Cms Info Systems Limited
CNCRD.NS,Concord Control Systems Ltd
CNIRESLTD.NS,Cni Research Ltd.
CNOVAPETRO.NS,Cil Nova Petrochemicals Ltd.
COALINDIA.NS,Coal India Limited
COARO.NS,Coastal Roadways Ltd.
COASTCORP.NS,Coastal Corporation Limited
COCHINM.NS,Cochin Minerals & Rutile Ltd.-$
COCHINSHIP.NS,Cochin Shipyard Limited
COCHMAL.NS,Cochin Malabar Estates & Industries Ltd.
COCKERILL.NS,John Cockerill India Ltd-$
COFFEEDAY.NS,Coffee Day Enterprises Limited
COFORGE.NS,Coforge Limited
COLABCLOUD.NS,Colab Cloud Platforms Ltd
COLINZ.NS,Colinz Laboratories Ltd.
COLORCHIPS.NS,Colorchips New Media Ltd
COLPAL.NS,Colgate Palmolive (India) Limited
COMCL.NS,Comfort Commotrade Ltd.
COMFINCAP.NS,Comfort Fincap Ltd.
COMFINTE.NS,Comfort Intech Ltd.-$
COMMAND.NS,Command Polymers Ltd
COMMOIETF.NS,Icici Prudential Nifty Commodities Etf
COMPEAU.NS,Competent Automobiles Co.Ltd.
COMPUPN.NS,Computer Point Ltd.
COMPUSOFT.NS,Compucom Software Limited
COMRADE.NS,Comrade Appliances Ltd
COMSYN.NS,Commercial Syn Bags Limited
CONART.NS,Conart Engineers Ltd.-$
CONCOR.NS,Container Corporation Of India Limited
CONCORD.NS,Concord Drugs Ltd
CONCORDBIO.NS,Concord Biotech Limited
CONFIPET.NS,Confidence Petroleum India Limited
CONSOFINVT.NS,Consolidated Finvest & Holdings Limited
CONSTRONIC.NS,Constronics Infra Ltd
CONSUMIETF.NS,Icici Prudential Nifty India Consumption Etf
CONTAINE.NS,Containe Technologies Ltd
CONTAINER.NS,Containerway International Ltd
CONTCHM.NS,Continental Chemicals Ltd.
CONTICON.NS,Continental Controls Ltd.
CONTILI.NS,Contil India Ltd.
CONTPTR.NS,Continental Petroleums Ltd.
CONTROLPR.NS,Control Print Limited
CORAGRO.NS,Coromandel Agro Products & Oils Ltd.
CORALAB.NS,Coral Laboratories Ltd.
CORALFINAC.NS,Coral India Finance & Housing Limited
CORDSCABLE.NS,Cords Cable Industries Limited
CORNE.NS,Coral Newsprints Ltd.
COROENGG.NS,Coromandel Engineering Company Ltd.
COROMANDEL.NS,Coromandel International Limited
COSCO.NS,Cosco (India) Ltd.-$
COSMICCRF.NS,Cosmic Crf Ltd
COSMOFE.NS,Cosmo Ferrites Ltd.-$
COSMOFIRST.NS,Cosmo First Limited
COSPOWER.NS,Cospower Engineering Ltd
COSYN.NS,Cosyn Ltd
COTFAB.NS,United Cotfab Ltd
COUNCODOS.NS,Country Condo'S Limited
CPL.NS,Captain Polyplast Ltd
CPML.NS,City Pulse Multiplex Ltd
CPSEETF.NS,Cpse Etf
CRAFTSMAN.NS,Craftsman Automation Limited
CRANEINFRA.NS,Crane Infrastructure Ltd
CRANESSOFT.NS,Cranes Software International Ltd.
CRANEX.NS,Cranex Ltd.
CRAVATEX.NS,Cravatex Ltd.
CREATIVE.NS,Creative Newtech Limited
CREATIVEYE.NS,Creative Eye Limited
CREDITACC.NS,Creditaccess Grameen Limited
CRESSAN.NS,Cressanda Solutions Ltd.
CREST.NS,Crest Ventures Limited
CRIMSON.NS,Crimson Metal Engineering Company Ltd
CRISIL.NS,Crisil Limited
CROISSANCE.NS,Croissance Ltd
CROMPTON.NS,Crompton Greaves Consumer Electricals Limited
CROPSTER.NS,Cropster Agro Ltd
CROWN.NS,Crown Lifters Limited
CRPRISK.NS,Crp Risk Management Ltd
CRSTCHM.NS,Crestchem Ltd.
CSBBANK.NS,Csb Bank Limited
CSL.NS,Continental Securities Ltd
CSLFINANCE.NS,Csl Finance Limited
CSURGSU.NS,Centenial Surgical Suture Ltd.
CTCL.NS,Captain Technocast Ltd
CTE.NS,Cambridge Technology Enterprises Limited
CTL.NS,Capital Trade Links Ltd
CTLLAB.NS,Clinitech Laboratory Ltd
CUB.NS,City Union Bank Limited
CUBEXTUB.NS,Cubex Tubings Limited
CUBIFIN.NS,Cubical Financial Services Ltd.
CUMMINSIND.NS,Cummins India Limited
CUPID.NS,Cupid Limited
CYBELEIND.NS,Cybele Industries Ltd.
CYBERMEDIA.NS,Cyber Media (India) Limited
CYBERTECH.NS,Cybertech Systems And Software Limited
CYIENT.NS,Cyient Limited
CYIENTDLM.NS,Cyient Dlm Limited
DABUR.NS,Dabur India Limited
DAICHI.NS,Dai-Ichi Karkaria Ltd.-$
DAIKAFFI.NS,Daikaffil Chemicals India Ltd.
DAL.NS,Dynamic Archistructures Ltd
DALBHARAT.NS,Dalmia Bharat Limited
DALMIASUG.NS,Dalmia Bharat Sugar And Industries Limited
DAMODARIND.NS,Damodar Industries Limited
DANGEE.NS,Dangee Dums Limited
DANLAW.NS,Danlaw Technologies India Ltd.-$
DANUBE.NS,Danube Industries Ltd
DAPS.NS,Daps Advertising Ltd
DARJEELING.NS,Darjeeling Ropeway Company Ltd
DARSHANORNA.NS,Darshan Orna Ltd
DATAMATICS.NS,Datamatics Global Services Limited
DATAPATTNS.NS,Data Patterns (India) Limited
DATIWARE.NS,Datiware Maritime Infra Ltd
DAULAT.NS,Daulat Securities Ltd.
DAVANGERE.NS,Davangere Sugar Company Limited
DBCORP.NS,D.B.Corp Limited
DBEIL.NS,Deepak Builders & Engineers India Limited
DBL.NS,Dilip Buildcon Limited
DBOL.NS,Dhampur Bio Organics Limited
DBREALTY.NS,Valor Estate Limited
DBSTOCKBRO.NS,Db (International) Stock Brokers Limited
DCAL.NS,Dishman Carbogen Amcis Limited
DCBBANK.NS,Dcb Bank Limited
DCI.NS,Dc Infotech And Communication Limited
DCM.NS,Dcm  Limited
DCMFINSERV.NS,Dcm Financial Services Limited
DCMNVL.NS,Dcm Nouvelle Limited
DCMSHRIRAM.NS,Dcm Shriram Limited
DCMSRIND.NS,Dcm Shriram Industries Limited
DCW.NS,Dcw Limited
DCXINDIA.NS,Dcx Systems Limited
DDEVPLASTIK.NS,Ddev Plastiks Industries Ltd
DDIL.NS,Deep Diamond India Ltd
DECCAN.NS,Deccan Health Care Ltd
DECCANCE.NS,Deccan Cements Limited
DECIPHER.NS,Decipher Labs Ltd
DECNGOLD.NS,Deccan Gold Mines Ltd.
DECOMIC.NS,Deco-Mica Ltd.
DEEDEV.NS,Dee Development Engineers Limited
DEEP.NS,Deep Polymers Ltd
DEEPAKCHEM.NS,Deepak Chemtex Ltd
DEEPAKFERT.NS,Deepak Fertilizers And Petrochemicals Corporation Limited
DEEPAKNTR.NS,Deepak Nitrite Limited
DEEPAKSP.NS,Deepak Spinners Ltd.-$
DEEPINDS.NS,Deep Industries Limited
DEL.NS,Dhanashree Electronics Ltd
DELHIVERY.NS,Delhivery Limited
DELPHIFX.NS,Delphi World Money Limited
DELTA.NS,Delta Industrial Resources Ltd
DELTACORP.NS,Delta Corp Limited
DELTAMAGNT.NS,Delta Manufacturing Limited
DEN.NS,Den Networks Limited
DENISCHEM.NS,Denis Chem Lab Ltd
DENORA.NS,De Nora India Limited
DESHRAK.NS,Desh Rakshak Aushdhalaya Ltd.
DEVINE.NS,Devine Impex Ltd.
DEVIT.NS,Dev Information Technology Limited
DEVITRD.NS,Devinsu Trading Ltd.
DEVLAB.NS,Dev Labtech Venture Ltd
DEVYANI.NS,Devyani International Limited
DFL.NS,Decillion Finance Ltd
DFPL.NS,Dindigul Farm Product Ltd
DGCONTENT.NS,Digicontent Limited
DHABRIYA.NS,Dhabriya Polywood Ltd
DHAMPURE.NS,Dhampure Speciality Sugars Ltd.
DHAMPURSUG.NS,Dhampur Sugar Mills Limited
DHANBANK.NS,Dhanlaxmi Bank Limited
DHANCOT.NS,Dhanlaxmi Cotex Ltd.
DHANFAB.NS,Dhanlaxmi Fabrics Ltd.
DHANI.NS,Dhani Services Limited
DHANROTO.NS,Dhanalaxmi Roto Spinners Ltd.
DHANUKA.NS,Dhanuka Agritech Limited
DHARFIN.NS,Dharani Finance Ltd.
DHARMAJ.NS,Dharmaj Crop Guard Limited
DHARNI.NS,Dharni Capital Services Ltd
DHATRE.NS,Dhatre Udyog Ltd
DHENUBUILD.NS,Dhenu Buildcon Infra Ltd.
DHINDIA.NS,D&H India Ltd-$
DHOOTIN.NS,Dhoot Industrial Finance Ltd.
DHPIND.NS,Dhp India Ltd.
DHRUV.NS,Dhruv Consultancy Services Limited
DHRUVCA.NS,Dhruva Capital Services Ltd.
DHUNINV.NS,Dhunseri Investments Limited
DHYAANITR.NS,Dhyaani Tradeventtures Ltd
DIACABS.NS,Diamond Power Infrastructure Limited
DIAMINESQ.NS,Diamines & Chemicals Limited
DIAMONDYD.NS,Prataap Snacks Limited
DIANATEA.NS,Diana Tea Co.Ltd.
DICIND.NS,Dic India Limited
DIFFNKG.NS,Diffusion Engineers Limited
DIGIDRIVE.NS,Digidrive Distributors Limited
DIGISPICE.NS,Digispice Technologies Limited
DIGJAMLMTD.NS,Digjam Limited
DIKSAT.NS,Diksat Transworld Ltd
DIL.NS,Debock Industries Limited
DILIGENT.NS,Diligent Industries Ltd.
DISAQ.NS,Disa India Ltd.
DISHTV.NS,Dish Tv India Limited
DITCO.NS,Decorous Investment & Trading Co Ltd
DIVGIITTS.NS,Divgi Torqtransfer Systems Limited
DIVISLAB.NS,Divi'S Laboratories Limited
DIVSHKT.NS,Divyashakti Ltd
DIXON.NS,Dixon Technologies (India) Limited
DJML.NS,Dj Mediaprint & Logistics Limited
DLCL.NS,Dr Lalchandani Labs Ltd
DLF.NS,Dlf Limited
DLINKINDIA.NS,D-Link (India) Limited
DLTNCBL.NS,Delton Cables Ltd.
DMART.NS,Avenue Supermarts Limited
DMCC.NS,Dmcc Speciality Chemicals Limited
DML.NS,Diggi Multitrade Ltd
DMR.NS,Dmr Hydroengineering & Infrastructures Ltd
DNAMEDIA.NS,Diligent Media Corporation Limited
DODLA.NS,Dodla Dairy Limited
DOLATALGO.NS,Dolat Algotech Limited
DOLFIN.NS,Dolfin Rubbers Ltd
DOLLAR.NS,Dollar Industries Limited
DOLPHIN.NS,Dolphin Offshore Enterprises (India) Limited
DOMS.NS,Doms Industries Limited
DONEAR.NS,Donear Industries Limited
DPABHUSHAN.NS,D. P. Abhushan Limited
DPL.NS,Dipna Pharmachem Ltd
DPSCLTD.NS,Dpsc Limited
DPWIRES.NS,D P Wires Limited
DRA.NS,Dra Consultants Ltd
DRAGARWQ.NS,Dr.Agarwals Eye Hospital Ltd.-$
DRCSYSTEMS.NS,Drc Systems India Limited
DREAMFOLKS.NS,Dreamfolks Services Limited
DREDGECORP.NS,Dredging Corporation Of India Limited
DRL.NS,Disha Resources Ltd
DRONACHRYA.NS,Droneacharya Aerial Innovations Ltd
DRREDDY.NS,Dr. Reddy'S Laboratories Limited
DSINVEST.NS,Dalal Street Investments Ltd.
DSSL.NS,Dynacons Systems & Solutions Limited
DTIL.NS,Dhunseri Tea & Industries Limited
DUCON.NS,Ducon Infratechnologies Limited
DUKEOFS.NS,Duke Offshore Ltd.
DUNCANENG.NS,Duncan Engineering Ltd-$
DUROPACK.NS,Duropack Ltd.
DUROPLY.NS,Duroply Industries Ltd
DUTRON.NS,Dutron Polymers Ltd.-$
DVL.NS,Dhunseri Ventures Limited
DWARKESH.NS,Dwarikesh Sugar Industries Limited
DYCL.NS,Dynamic Cables Limited
DYNAMATECH.NS,Dynamatic Technologies Limited
DYNAMICP.NS,Dynamic Portfolio Management & Services Ltd.
DYNAMIND.NS,Dynamic Industries Ltd.-$
DYNAVSN.NS,Dynavision Ltd.
DYNPRO.NS,Dynemic Products Limited
E2E.NS,E2E Networks Limited
EARTH.NS,Earthstahl & Alloys Ltd
EASEMYTRIP.NS,Easy Trip Planners Limited
EASTBUILD.NS,East Buildtech Ltd.
EASTRED.NS,Eastern Treads Ltd.
EASTWEST.NS,East West Freight Carriers Ltd
EASUN.NS,Easun Capital Markets Ltd
EASYFIN.NS,Easy Fincorp Ltd
ECLERX.NS,Eclerx Services Limited
ECOBOAR.NS,Ecoboard Industries Ltd.
ECOHOTELS.NS,Eco Hotels And Resorts Ltd
ECOPLAST.NS,Ecoplast Ltd.-$
ECORECO.NS,Eco Recycling Ltd.
ECOSMOBLTY.NS,Ecos (India) Mobility & Hospitality Limited
ECS.NS,Ecs Biztech Ltd
ECSTSTL.NS,East Coast Steel Ltd.
EDELWEISS.NS,Edelweiss Financial Services Limited
EDVEN-RE1.NS,Edvenswa Enterprises Ltd
EDVENSWA.NS,Edvenswa Enterprises Ltd
EFCIL.NS,Efc (I) Ltd
EICHERMOT.NS,Eicher Motors Limited
EIDPARRY.NS,Eid Parry India Limited
EIFFL.NS,Euro India Fresh Foods Limited
EIGHTY.NS,Eighty Jewellers Ltd
EIHAHOTELS.NS,Eih Associated Hotels Limited
EIHOTEL.NS,Eih Limited
EIKO.NS,Eiko Lifesciences Ltd
EIMCOELECO.NS,Eimco Elecon (India) Limited
EKAMLEA.NS,Ekam Leasing & Finance Co.Ltd.
EKANSH.NS,Ekansh Concepts Ltd
EKC.NS,Everest Kanto Cylinder Limited
EKENNIS.NS,Ekennis Software Service Ltd
EKI.NS,Eki Energy Services Ltd
ELANGO.NS,Elango Industries Ltd.
ELANTAS.NS,Elantas Beck India Ltd.-$
ELCIDIN.NS,Elcid Investments Ltd.
ELDEHSG.NS,Eldeco Housing And Industries Limited
ELECON.NS,Elecon Engineering Company Limited
ELECTCAST.NS,Electrosteel Castings Limited
ELECTHERM.NS,Electrotherm (India) Limited
ELEFLOR.NS,Elegant Floriculture & Agrotech (India) Ltd.
ELEMARB.NS,Elegant Marbles & Grani Industries Ltd.
ELFORGE.NS,El Forge Ltd.-$
ELGIEQUIP.NS,Elgi Equipments Limited
ELGIRUBCO.NS,Elgi Rubber Company Limited
ELIN.NS,Elin Electronics Limited
ELITECON.NS,Elitecon International Ltd
ELIXIR.NS,Elixir Capital Ltd
ELNET.NS,Elnet Technologies Ltd.-$
ELPROINTL.NS,Elpro International Ltd.
EMAINDIA.NS,Ema India Ltd.
EMAMILTD.NS,Emami Limited
EMAMIPAP.NS,Emami Paper Mills Limited
EMAMIREAL.NS,Emami Realty Limited
EMBDL.NS,Equinox India Developments Limited
EMCURE.NS,Emcure Pharmaceuticals Limited
EMERALD.NS,Emerald Finance Ltd
EMERALL.NS,Emerald Leisures Ltd
EMERGENT.NS,Emergent Industrial Solutions Ltd
EMIL.NS,Electronics Mart India Limited
EMKAY.NS,Emkay Global Financial Services Limited
EMMBI.NS,Emmbi Industries Limited
EMMESSA.NS,Emmessar Biotech & Nutrition Ltd.
EMMFORCE.NS,Emmforce Autotech Ltd
EMPIND.NS,Empire Industries Ltd.
